id	Flexion	Lemme	Étiquettes	Métagraphe (β)	Metaphone2	Notes	Sémantique	Étymologie	Sous-dictionnaire	Google 1-grams	Wikipédia	Littérature	Total occurrences	Doublons	Multiples	Fréquence	Indice de fréquence
139424	de	de	mg det epi inv	de	T		@		*	1837520343	19402708	6972501	1863895552	1	0	5.631031003655298	9
145241	et	et	mg cjco	é	AT		@		*	825706916	7491843	3823323	837022082	1	0	2.528734665109662	9
180587	à	à	mg prep prepv	a	A		@		*	674758503	6111516	2919484	683789503	1	0	2.065802392862327	9
214633	des	des	mg det epi pl	des	TS		@		*	563941621	4831296	1846193	570619110	1	0	1.723902337896771	9
183228	en	en	mg prep proadv	â	AN		@	lat	*	434267780	5176083	1761590	441205453	1	0	1.332929617305499	9
167400	que	que	mg cjsub	ke	K		@		*	405195961	1459563	2035816	408691340	1	0	1.234700948771527	9
140801	du	du	mg det mas sg	du	T		@		*	381998012	4534535	1228832	387761379	1	0	1.171469262226735	9
154666	la	la	mg det fem sg	la	L		@		*	1039296797	8920537	3986282	350734539	1	2	1.059607155048218	9
225551	la	la	mg properobj fem sg	la	L		@		*	1039296797	8920537	3986282	350734539	1	2	1.059607155048218	9
154665	la	la	nom mas inv	la	L				*	1039296797	8920537	3986282	350734539	1	2	1.059607155048218	9
155146	le	le	mg det mas sg	le	L	heure	@		*	665273591	6325606	2981565	337290381	1	1	1.018990892814636	9
225550	le	le	mg properobj mas sg	le	L		@		*	665273591	6325606	2981565	337290381	1	1	1.018990892814636	9
214632	les	les	mg det epi pl	les	LS		@		*	659896533	4118159	2711188	333362940	1	1	1.007125666776462	9
225552	les	les	mg properobj epi pl	les	LS		@		*	659896533	4118159	2711188	333362940	1	1	1.007125666776462	9
167447	qui	qui	mg proint prorel	ki	K		@	lat	*	321379245	1773411	1559522	324712178	1	0	0.980990774735449	9
151687	il	il	mg propersuj 3pe mas sg	il	AL		@		*	302370733	1783060	1867223	306021016	1	0	0.924522743249775	9
213380	l	l	mg det epi sg	l	L		@		*	786998289	6019628	2969641	265329186	1	2	0.801588303023443	9
210964	l	l	nom mas inv	l	L				*	786998289	6019628	2969641	265329186	1	2	0.801588303023443	9
201034	l	l	nom mas inv	l	L	symb			*	786998289	6019628	2969641	265329186	1	2	0.801588303023443	9
139281	d	d	nom mas inv	d	T				*	519138206	4864639	2003338	263003092	1	1	0.794560920283374	9
201094	d	d	nom mas inv	d	T	symb			*	519138206	4864639	2003338	263003092	1	1	0.794560920283374	9
162173	par	par	mg prep prepv loc.prep	par	PR		@		*	251793817	2307430	838342	254939589	1	0	0.770200201496129	9
213381	qu	qu	mg cjsub	k	K		@		*	238161089	806344	1347464	240314897	1	0	0.726017417765279	9
165339	pour	pour	mg prep prepv	pûr	PR		@		*	218457195	1927779	953697	221338671	1	0	0.668688176958995	9
129834	au	au	mg prep det mas sg	o	A		@		*	199062230	1985248	759662	201807140	1	0	0.609681299405239	9
159782	ne	ne	mg negadv	ne	N		@		*	195450554	606351	1149474	197206379	1	0	0.595781900480439	9
206190	est	est	nom mas sg	est	AST				*	363879501	4045646	1453973	184689560	1	1	0.557967230135573	9
182371	est	être	v0ei_____a ipre 3sg	est	AST		@	lat	*	363879501	4045646	1453973	184689560	1	1	0.557967230135573	9
172133	se	se	mg properobj 3pe epi sg pl	Se	S		@		*	177174940	1060314	941478	179176732	1	0	0.541312377693595	9
178568	un	un	mg det mas sg	1	AN		@		*	349978029	3445035	1733062	177578063	1	1	0.536482624924497	9
222640	un	un	nom mas sg	1	AN				*	349978029	3445035	1733062	177578063	1	1	0.536482624924497	9
222640	une	un	nom fem sg	un	AN				*	329437425	2892892	1356595	166843456	1	1	0.504052210696514	9
178578	une	une	mg det fem sg	un	AN		@		*	329437425	2892892	1356595	166843456	1	1	0.504052210696514	9
134531	ce	ce	mg detdem prodem mas sg	Se	S		@		*	164780751	671627	851710	166304088	1	0	0.502422721357843	9
159583	n	n	nom mas inv	n	N				*	163253411	614072	896263	164763746	1	0	0.497769180793875	9
139348	dans	dan	nom mas pl	dâ	TNS	fxa	sport	jap	*	313011946	2442447	1263351	158358872	1	1	0.478419360451310	9
210314	dans	dans	mg prep	dâ	TNS		@		*	313011946	2442447	1263351	158358872	1	1	0.478419360451310	9
161019	on	on	mg propersuj 3pe epi sg	on	AN		@		*	138340697	398388	649080	139388165	1	0	0.421106793143750	9
161548	ou	ou	mg cjco	û	A		@	lat	*	122443959	961366	377644	123782969	1	0	0.373961800281984	9
130203	avec	avec	mg prep	avek	AFK		@		*	109054693	1231251	544560	110830504	1	0	0.334830996031446	9
182371	sont	être	v0ei_____a ipre 3pl!	Sô	SNT		@	lat	*	102594141	906135	328788	103829064	1	0	0.313678884976764	9
214679	aux	aux	mg prep det mas pl	oks	A		@		*	94002171	710855	368199	95081225	1	0	0.287250712769835	9
134675	cette	cette	mg detdem fem sg	Sét	ST		@		*	94152248	424164	462366	95038778	1	0	0.287122475770312	9
143451	elle	elle	mg propersuj properobj 3pe fem sg	él	AL		@		*	92981717	463853	617235	94062805	1	0	0.284173955282760	9
136531	comme	comme	mg cjsub adv	kom	KM		@	lat	*	92913285	621721	473291	94008297	1	0	0.284009280691623	9
162576	pas	pas	mg negadv	pas	PS		@		*	178074070	706756	976109	89878468	1	1	0.271532618512864	9
162577	pas	pas	nom mas inv	pas	PS				*	178074070	706756	976109	89878468	1	1	0.271532618512864	9
171116	sa	sa	mg detpos fem sg	Sa	S		@		*	79935901	702092	527139	81165132	1	0	0.245208683618220	9
172466	ses	ses	mg detpos epi pl	Ses	SS		@		*	79413638	583633	503967	80501238	1	0	0.243202987701874	9
174671	sur	sur	mg prep	Sur	SR		@		*	156124037	1604757	656816	79192805	1	1	0.239250069427403	9
174750	sur	sur	adj mas sg	Sur	SR	fxa			*	156124037	1604757	656816	79192805	1	1	0.239250069427403	9
171110	s	s	nom mas inv	s	S				*	149404463	1027708	828341	75630256	1	1	0.228487221772386	9
